# NASA 3D Models Database
# Format: Model Name | GLB URL | Category
# Base URL: https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/

## ANTENNAS & DISHES
Tropical Rainfall Measuring Mission (TRMM)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Tropical%20Rainfall%20Measuring%20Mission%20(TRMM)/Tropical%20Rainfall%20Measuring%20Mission%20(TRMM).glb|Satellites
Suomi National Polar-orbiting Partnership (Suomi NPP)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Suomi%20National%20Polar-orbiting%20Partnership%20(Suomi%20NPP)/Suomi%20National%20Polar-orbiting%20Partnership%20(Suomi%20NPP).glb|Satellites
Jason 1|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Jason%201/Jason%201.glb|Satellites
TOPEX-Poseidon|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/TOPEX-Poseidon/TOPEX-Poseidon.glb|Satellites
Ocean Surface Topography Mission (OSTM Jason-2)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Ocean%20Surface%20Topography%20Mission%20(OSTM%20Jason-2)/Ocean%20Surface%20Topography%20Mission%20(OSTM%20Jason-2).glb|Satellites
Jason Continuity of Service (Sentinel-6)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Jason%20Continuity%20of%20Service%20(Sentinel-6)/Jason%20Continuity%20of%20Service%20(Sentinel-6).glb|Satellites
CloudSat (A)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/CloudSat%20(A)/CloudSat%20(A).glb|Satellites
CloudSat (B)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/CloudSat%20(B)/CloudSat%20(B).glb|Satellites
CloudSat (C)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/CloudSat%20(C)/CloudSat%20(C).glb|Satellites
Cloud-Aerosol Lidar and Infrared Pathfinder Satellite (CALIPSO)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Cloud-Aerosol%20Lidar%20and%20Infrared%20Pathfinder%20Satellite%20(CALIPSO)/Cloud-Aerosol%20Lidar%20and%20Infrared%20Pathfinder%20Satellite%20(CALIPSO).glb|Satellites

## COMMUNICATION & TRACKING SATELLITES
Tracking and Data Relay Satellites (TDRS) (A)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Tracking%20and%20Data%20Relay%20Satellites%20(TDRS)%20(A)/Tracking%20and%20Data%20Relay%20Satellites%20(TDRS)%20(A).glb|Satellites
Tracking and Data Relay Satellites (TDRS) (B)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Tracking%20and%20Data%20Relay%20Satellites%20(TDRS)%20(B)/Tracking%20and%20Data%20Relay%20Satellites%20(TDRS)%20(B).glb|Satellites
Tracking and Data Relay Satellites (TDRS) (C)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Tracking%20and%20Data%20Relay%20Satellites%20(TDRS)%20(C)/Tracking%20and%20Data%20Relay%20Satellites%20(TDRS)%20(C).glb|Satellites
Tracking and Data Relay Satellites (TDRS) (D)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Tracking%20and%20Data%20Relay%20Satellites%20(TDRS)%20(D)/Tracking%20and%20Data%20Relay%20Satellites%20(TDRS)%20(D).glb|Satellites
Geostationary Operational Environmental Satellites|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Geostationary%20Operational%20Environmental%20Satellites/Geostationary%20Operational%20Environmental%20Satellites.glb|Satellites
Polar Operational Environmental Satellite (POES)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Polar%20Operational%20Environmental%20Satellite%20(POES)/Polar%20Operational%20Environmental%20Satellite%20(POES).glb|Satellites

## ASTEROIDS & SMALL BODIES
1999 RQ36 asteroid|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/1999%20RQ36%20asteroid/1999%20RQ36%20asteroid.glb|Asteroids

## ROCKETS & LAUNCH VEHICLES
Saturn V|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Saturn%20V/Saturn%20V.glb|Rockets
Space Launch System Block 1|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Space%20Launch%20System%20Block%201/Space%20Launch%20System%20Block%201.glb|Rockets
Ares 1 (A)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Ares%201%20(A)/Ares%201%20(A).glb|Rockets
Ares 1 (B)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Ares%201%20(B)/Ares%201%20(B).glb|Rockets
Explorer Jupiter-C Rocket|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Explorer%20Jupiter-C%20Rocket/Explorer%20Jupiter-C%20Rocket.glb|Rockets

## SPACE SHUTTLE
Space Shuttle (A)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Space%20Shuttle%20(A)/Space%20Shuttle%20(A).glb|Shuttle
Space Shuttle (B)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Space%20Shuttle%20(B)/Space%20Shuttle%20(B).glb|Shuttle
Space Shuttle (C)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Space%20Shuttle%20(C)/Space%20Shuttle%20(C).glb|Shuttle
Space Shuttle (D)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Space%20Shuttle%20(D)/Space%20Shuttle%20(D).glb|Shuttle
Space Shuttle Remote Manipulator System (Canadarm)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Space%20Shuttle%20Remote%20Manipulator%20System%20(Canadarm)/Space%20Shuttle%20Remote%20Manipulator%20System%20(Canadarm).glb|Shuttle

## CAPSULES & MODULES
Apollo Lunar Module|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Apollo%20Lunar%20Module/Apollo%20Lunar%20Module.glb|Capsules
Apollo Soyuz|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Apollo%20Soyuz/Apollo%20Soyuz.glb|Capsules
Gemini|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Gemini/Gemini.glb|Capsules
Atlas 6 (Friendship 7)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Atlas%206%20(Friendship%207)/Atlas%206%20(Friendship%207).glb|Capsules
Atlas 7 (Aurora 7)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Atlas%207%20(Aurora%207)/Atlas%207%20(Aurora%207).glb|Capsules
Atlas 9 (Faith 7)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Atlas%209%20(Faith%207)/Atlas%209%20(Faith%207).glb|Capsules
Redstone 3 (Freedom 7)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Redstone%203%20(Freedom%207)/Redstone%203%20(Freedom%207).glb|Capsules

## SPACESUITS
Advanced Crew Escape Suit|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Advanced%20Crew%20Escape%20Suit/Advanced%20Crew%20Escape%20Suit.glb|Equipment
Extravehicular Mobility Unit|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Extravehicular%20Mobility%20Unit/Extravehicular%20Mobility%20Unit.glb|Equipment
Gemini Spacesuit|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Gemini%20Spacesuit/Gemini%20Spacesuit.glb|Equipment
Mercury Spacesuit|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Mercury%20Spacesuit/Mercury%20Spacesuit.glb|Equipment
Mark III Spacesuit|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Mark%20III%20Spacesuit/Mark%20III%20Spacesuit.glb|Equipment
Z2 Spacesuit|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Z2%20Spacesuit/Z2%20Spacesuit.glb|Equipment

## TOOLS & EQUIPMENT
Astronaut|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Astronaut/Astronaut.glb|Equipment
Astronaut Glove|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Astronaut%20Glove/Astronaut%20Glove.glb|Equipment
Hammer|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Hammer/Hammer.glb|Equipment
Wrench|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Wrench/Wrench.glb|Equipment
Pistol Grip Tool|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Pistol%20Grip%20Tool/Pistol%20Grip%20Tool.glb|Equipment
Ratchet|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Ratchet/Ratchet.glb|Equipment
Grease Gun|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Grease%20Gun/Grease%20gun.glb|Equipment

## ROVERS & MOBILITY
Robonaut 2|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Robonaut%202/Robonaut%202.glb|Equipment
Regolith Advanced Surface Systems Operations Robot (RASSOR)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Regolith%20Advanced%20Surface%20Systems%20Operations%20Robot%20(RASSOR)/Regolith%20Advanced%20Surface%20Systems%20Operations%20Robot%20(RASSOR).glb|Equipment
Space Exploration Vehicle|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Space%20Exploration%20Vehicle/Space%20Exploration%20Vehicle.glb|Equipment

## SCIENTIFIC INSTRUMENTS
Cosmic Origins Spectrograph|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Cosmic%20Origins%20Spectrograph/Cosmic%20Origins%20Spectrograph.glb|Instruments
Wide Field Planetary Camera|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Wide%20Field%20Planetary%20Camera/Wide%20Field%20Planetary%20Camera.glb|Instruments
Infrared Camera|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Infrared%20Camera/Infrared%20Camera.glb|Instruments

## SATELLITE CONSTELLATIONS
Gravity Recovery and Climate Experiment (GRACE) (A)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Gravity%20Recovery%20and%20Climate%20Experiment%20(GRACE)%20(A)/Gravity%20Recovery%20and%20Climate%20Experiment%20(GRACE)%20(A).glb|Satellites
Gravity Recovery and Climate Experiment (GRACE) (B)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Gravity%20Recovery%20and%20Climate%20Experiment%20(GRACE)%20(B)/Gravity%20Recovery%20and%20Climate%20Experiment%20(GRACE)%20(B).glb|Satellites
Magnetospheric Multiscale (MMS) (A)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Magnetospheric%20Multiscale%20(MMS)%20(A)/Magnetospheric%20Multiscale%20(MMS)%20(A).glb|Satellites
Magnetospheric Multiscale (MMS) (B)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Magnetospheric%20Multiscale%20(MMS)%20(B)/Magnetospheric%20Multiscale%20(MMS)%20(B).glb|Satellites
Solar TErrestrial RElations Observatory (STEREO)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Solar%20TErrestrial%20RElations%20Observatory%20(STEREO)/Solar%20TErrestrial%20RElations%20Observatory%20(STEREO).glb|Satellites

## OTHER SATELLITES
Transiting Exoplanet Survey Satellite (TESS) (A)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Transiting%20Exoplanet%20Survey%20Satellite%20(TESS)%20(A)/Transiting%20Exoplanet%20Survey%20Satellite%20(TESS)%20(A).glb|Satellites
Transiting Exoplanet Survey Satellite (TESS) (B)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Transiting%20Exoplanet%20Survey%20Satellite%20(TESS)%20(B)/Transiting%20Exoplanet%20Survey%20Satellite%20(TESS)%20(B).glb|Satellites
Advanced Composition Explorer|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Advanced%20Composition%20Explorer/Advanced%20Composition%20Explorer.glb|Satellites
Interstellar Boundary Explorer (IBEX)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Interstellar%20Boundary%20Explorer%20(IBEX)/Interstellar%20Boundary%20Explorer%20(IBEX).glb|Satellites
Swift|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Swift/Swift.glb|Satellites
Fermi Gamma-ray Large Area Space Telescope|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Fermi%20Gamma-ray%20Large%20Area%20Space%20Telescope/Fermi%20Gamma-ray%20Large%20Area%20Space%20Telescope.glb|Satellites
Hinode (Solar-B)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Hinode%20(Solar-B)/Hinode%20(Solar-B).glb|Satellites
Suzaku|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Suzaku/Suzaku.glb|Satellites
HESSI-RHESSI|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/HESSI-RHESSI/HESSI-RHESSI.glb|Satellites
Gamma Ray Observatory|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Gamma%20Ray%20Observatory/Gamma%20Ray%20Observatory.glb|Satellites

## CUBESATS
CubeSat - 1 RU Generic|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/CubeSat%20-%201%20RU%20Generic/CubeSat%20-%201%20RU%20Generic.glb|CubeSats
CubeSat - 2 RU Generic|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/CubeSat%20-%202%20RU%20Generic/CubeSat%20-%202%20RU%20Generic.glb|CubeSats
CubeSat - ICECube|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/CubeSat%20-%20ICECube/CubeSat%20-%20ICECube.glb|CubeSats
CubeSat - MiRaTa|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/CubeSat%20-%20MiRaTa/CubeSat%20-%20MiRaTa.glb|CubeSats

## GROUND EQUIPMENT & FACILITIES
Vehicle Assembly Building (VAB)|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Vehicle%20Assembly%20Building%20(VAB)/Vehicle%20Assembly%20Building%20(VAB).glb|Facilities
Headquarters Building|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/Headquarters%20Building/Headquarters%20Building.glb|Facilities
JSC Mission Control Room|https://raw.githubusercontent.com/nasa/NASA-3D-Resources/master/3D%20Models/JSC%20Mission%20Control%20Room/JSC%20Mission%20Control%20Room.glb|Facilities
